	Oui/vie/saine	Oui/personne/saine	Oui/peau/saine	Oui/nourriture/saine	Oui/chair/saine	Oui/écorces/saines	Oui/dents/saines	Oui/bouche/saine	Oui/jambe/saine	Oui/feuilles/saines	Non/colère/saine	Oui/balles/plomb	Oui/lamelles/plomb	Oui/balle/plomb	Oui/noyaux/plomb	Oui/cartouches/plomb	Oui/billes/plomb	Oui/boulet/plomb	Oui/bille/plomb	Oui/plaque/plomb	Oui/coupole/plomb	Non/soleil/plomb
Non/colère/saine	0.4066244661808014	0.30117666721343994	0.3243606686592102	0.2818399965763092	0.39969760179519653	0.24670574069023132	0.28211644291877747	0.22548280656337738	0.34427961707115173	0.35634371638298035	1.0	0.16066719591617584	-0.13860489428043365	0.16525715589523315	-0.0777197927236557	-0.032012056559324265	-0.07523699849843979	-0.026492374017834663	-0.08713461458683014	0.07283060252666473	-0.12473173439502716	0.14178745448589325	
Oui/balles/plomb	0.05994889512658119	-0.04691159352660179	0.0796162337064743	-0.03562973812222481	0.05950675904750824	-0.02428794465959072	0.11031754314899445	0.07951955497264862	-0.014593452215194702	0.017257608473300934	0.16066719591617584	1.0	0.2999812066555023	0.49100545048713684	0.44335031509399414	0.5262986421585083	0.49587851762771606	0.27767881751060486	0.1989271342754364	0.2206811159849167	0.08914365619421005	0.22161635756492615	
Oui/lamelles/plomb	-0.1557217389345169	-0.035248078405857086	0.07251950353384018	-0.12427353113889694	-0.022138571366667747	0.01835186779499054	0.05377320945262909	0.19393110275268555	-0.030909808352589607	-0.06049584224820137	-0.13860489428043365	0.2999812066555023	1.0	0.06405269354581833	0.41624853014945984	0.23842304944992065	0.39081162214279175	0.1226433590054512	0.17991966009140015	0.11125596612691879	0.2592613697052002	-0.005327917169779539	
Oui/balle/plomb	0.11652275174856186	0.0763973668217659	0.19596713781356812	-0.11333487927913666	0.1304413229227066	-0.09570127725601196	-0.040854573249816895	0.09204816818237305	-0.06496845930814743	-0.025596272200345993	0.16525715589523315	0.49100545048713684	0.06405269354581833	1.0	0.1469835489988327	0.4117618203163147	0.27742618322372437	0.3827940821647644	0.5710167288780212	0.3793751299381256	0.3259192705154419	0.3999486565589905	
Oui/noyaux/plomb	-0.15238524973392487	-0.1307584047317505	0.020570622757077217	-0.11241243034601212	-0.030134156346321106	0.05500168353319168	0.1189054548740387	0.09998038411140442	-0.04589294642210007	-0.06808115541934967	-0.0777197927236557	0.44335031509399414	0.41624853014945984	0.1469835489988327	1.0	0.4304053485393524	0.40717464685440063	0.21316075325012207	0.22318105399608612	0.057855602353811264	0.24069488048553467	0.03365102782845497	
Oui/cartouches/plomb	-0.1817743480205536	-0.11693010479211807	-0.07897515594959259	-0.08104555308818817	-0.13983450829982758	-0.005620570853352547	0.046481192111968994	0.047734733670949936	-0.13604705035686493	-0.12307021021842957	-0.032012056559324265	0.5262986421585083	0.23842304944992065	0.4117618203163147	0.4304053485393524	1.0	0.49652889370918274	0.24289260804653168	0.3131556212902069	0.10916800796985626	0.14794564247131348	0.10721782594919205	
Oui/billes/plomb	-0.04999963194131851	-0.05372215807437897	0.01509086973965168	-0.05029233172535896	0.03830781951546669	-0.07420989125967026	0.0966571494936943	0.13788482546806335	-0.019001560285687447	-0.08387389034032822	-0.07523699849843979	0.49587851762771606	0.39081162214279175	0.27742618322372437	0.40717464685440063	0.49652889370918274	1.0	0.1802200973033905	0.4562508165836334	0.1711246520280838	0.1963711678981781	0.10456227511167526	
Oui/boulet/plomb	0.017954329028725624	-0.08650482445955276	-0.024732569232583046	-0.053026095032691956	-0.04566480219364166	-0.06730050593614578	-0.10409904271364212	-0.035512253642082214	0.014221764169633389	-0.022952664643526077	-0.026492374017834663	0.27767881751060486	0.1226433590054512	0.3827940821647644	0.21316075325012207	0.24289260804653168	0.1802200973033905	1.0	0.36889809370040894	0.30329975485801697	0.1826740801334381	0.29955804347991943	
Oui/bille/plomb	0.02185344137251377	0.018895315006375313	0.14710396528244019	-0.09998954087495804	0.04723299294710159	-0.08727896958589554	-0.04979345574975014	0.0832817330956459	0.0011694495333358645	-0.0701138898730278	-0.08713461458683014	0.1989271342754364	0.17991966009140015	0.5710167288780212	0.22318105399608612	0.3131556212902069	0.4562508165836334	0.36889809370040894	1.0	0.3393459916114807	0.5014010071754456	0.22082871198654175	
Oui/plaque/plomb	0.19722291827201843	0.1929926723241806	0.2156386375427246	0.03005298227071762	0.08149643242359161	-0.010317761451005936	0.1106899306178093	0.14435778558254242	0.05879686772823334	0.055392391979694366	0.07283060252666473	0.2206811159849167	0.11125596612691879	0.3793751299381256	0.057855602353811264	0.10916800796985626	0.1711246520280838	0.30329975485801697	0.3393459916114807	1.0	0.20628972351551056	0.3438156545162201	
Oui/coupole/plomb	-0.08476239442825317	-0.010770085267722607	0.15098093450069427	-0.11189836263656616	-0.05729672312736511	-0.035227227956056595	-0.05379284918308258	0.10526745766401291	-0.08904236555099487	-0.12172779440879822	-0.12473173439502716	0.08914365619421005	0.2592613697052002	0.3259192705154419	0.24069488048553467	0.14794564247131348	0.1963711678981781	0.1826740801334381	0.5014010071754456	0.20628972351551056	1.0	0.11890998482704163	
Non/soleil/plomb	0.22773827612400055	0.07437670230865479	0.1186763346195221	0.01858920231461525	0.16205045580863953	-0.07975863665342331	0.05390278622508049	0.09046341478824615	0.12025810033082962	0.06591077893972397	0.14178745448589325	0.22161635756492615	-0.005327917169779539	0.3999486565589905	0.03365102782845497	0.10721782594919205	0.10456227511167526	0.29955804347991943	0.22082871198654175	0.3438156545162201	0.11890998482704163	1.0	
