FL_MAGN_OUTPUT.tsv		
Groupe	accuracy modèle	accuracy système baseline
1	100.0	90.0
2	100.0	75.0
3	75.0	60.0
4	90.0	55.0
5	100.0	90.0
6	90.0	65.0
7	85.0	70.0
8	55.0	35.0
9	90.0	50.0
10	70.0	30.0
total	85.5	62.0
