FL_MAGN_BON_CLASSE_OUTPUT.tsv		
Groupe	accuracy modèle	accuracy système baseline
1	85.0	50.0
2	75.0	90.0
3	50.0	35.0
4	95.0	40.0
5	85.0	65.0
6	25.0	15.0
7	95.0	70.0
8	100.0	60.0
9	55.0	70.0
10	100.0	65.0
11	100.0	90.0
12	100.0	75.0
13	95.0	60.0
14	95.0	55.0
15	100.0	90.0
16	90.0	65.0
17	85.0	70.0
18	65.0	35.0
19	90.0	50.0
20	75.0	30.0
total	83.0	59.0
