	Non/soleil/plomb	Non/soleil/plomb	Non/soleil/plomb	Non/soleil/plomb	Non/soleil/plomb	Non/soleil/plomb	Non/soleil/plomb	Non/soleil/plomb	Non/soleil/plomb	Non/soleil/plomb	Oui/balles/plomb	Oui/lamelles/plomb	Oui/balle/plomb	Oui/noyaux/plomb	Oui/cartouches/plomb	Oui/billes/plomb	Oui/boulet/plomb	Oui/bille/plomb	Oui/plaque/plomb	Oui/coupole/plomb	Non/silence/plomb	Non/silence/plomb	Non/silence/plomb	Non/silence/plomb	Non/silence/plomb	Non/silence/plomb	Non/silence/plomb	Non/silence/plomb	Non/silence/plomb	Non/silence/plomb	Oui/urne/plomb	Oui/tablette/plomb	Oui/tuyau/plomb	Oui/cercueil/plomb	Oui/cage/plomb	Oui/gants/plomb	Oui/masse/plomb	Oui/lingot/plomb	Oui/morceau/plomb	Oui/armatures/plomb
Non/soleil/plomb	1.0	0.8951682448387146	0.9190965890884399	0.8761166334152222	0.8819432258605957	0.9204068779945374	0.8874815702438354	0.8239001631736755	0.624505341053009	0.8978153467178345	0.6179314255714417	0.46053776144981384	0.7106677293777466	0.6152634024620056	0.665634274482727	0.6878179311752319	0.6530791521072388	0.7254236340522766	0.6995400190353394	0.6787126064300537	0.79266357421875	0.8072564601898193	0.7297254800796509	0.7932041883468628	0.839669406414032	0.7229751348495483	0.7483418583869934	0.7973005771636963	0.734022319316864	0.7771024107933044	0.6885981559753418	0.6852264404296875	0.7057415843009949	0.6174530386924744	0.6454090476036072	0.6999213099479675	0.6929174661636353	0.70143723487854	0.6809301376342773	0.49428555369377136	
Non/soleil/plomb	0.8951682448387146	1.0	0.9086250066757202	0.8841890692710876	0.8868165612220764	0.8719300627708435	0.8759899735450745	0.8452175259590149	0.6733908653259277	0.8683567643165588	0.5952141284942627	0.46873584389686584	0.6844099164009094	0.6421921849250793	0.669196367263794	0.6640549898147583	0.6131501197814941	0.7214904427528381	0.6736747026443481	0.6737348437309265	0.790928840637207	0.7896983623504639	0.7643090486526489	0.8024390339851379	0.8048133850097656	0.7477746605873108	0.7608893513679504	0.8039937019348145	0.7373673319816589	0.8026009202003479	0.7131023406982422	0.669876217842102	0.6946151256561279	0.6198729276657104	0.6273469924926758	0.6695600748062134	0.7059326171875	0.6612932085990906	0.6376025080680847	0.5132248997688293	
Non/soleil/plomb	0.9190965890884399	0.9086250066757202	1.0	0.8988037109375	0.8863524198532104	0.8851801156997681	0.904960036277771	0.838741660118103	0.7234064340591431	0.8874656558036804	0.6537595987319946	0.5199945569038391	0.719392716884613	0.691344141960144	0.7308174967765808	0.7076280117034912	0.6534882187843323	0.7354036569595337	0.725630521774292	0.7032576203346252	0.8287280797958374	0.8562586903572083	0.8174017071723938	0.832557201385498	0.8666439056396484	0.7898407578468323	0.8072712421417236	0.8533233404159546	0.7935245037078857	0.8384535908699036	0.7419515252113342	0.7117830514907837	0.7341679930686951	0.6546135544776917	0.6727603673934937	0.7207872271537781	0.7242861390113831	0.7108114361763	0.6848403215408325	0.5481082201004028	
Non/soleil/plomb	0.8761166334152222	0.8841890692710876	0.8988037109375	1.0	0.9325247406959534	0.8724322319030762	0.897245466709137	0.9179525971412659	0.7028185129165649	0.8996404409408569	0.6302401423454285	0.4218347668647766	0.6875318288803101	0.6498329043388367	0.7405642867088318	0.7100019454956055	0.5933655500411987	0.7244766354560852	0.6854842901229858	0.6754360795021057	0.833992063999176	0.7884282469749451	0.7671063542366028	0.7990637421607971	0.8245533108711243	0.7145270705223083	0.7318882942199707	0.7754136919975281	0.7577372193336487	0.788068950176239	0.7683713436126709	0.657451868057251	0.7412095069885254	0.6178871989250183	0.6209166049957275	0.6653662919998169	0.6979457139968872	0.7228093147277832	0.6706203818321228	0.5548685193061829	
Non/soleil/plomb	0.8819432258605957	0.8868165612220764	0.8863524198532104	0.9325247406959534	1.0	0.8689791560173035	0.8737496137619019	0.8753001689910889	0.7283756136894226	0.8747672438621521	0.5802951455116272	0.4364706873893738	0.6369224190711975	0.6238940954208374	0.6667677760124207	0.6497607827186584	0.5925552248954773	0.6616414785385132	0.6375220417976379	0.6360799074172974	0.8363266587257385	0.7829755544662476	0.7444676756858826	0.8124762773513794	0.8307405710220337	0.6982461810112	0.7458263039588928	0.7770044803619385	0.7441664338111877	0.8039222359657288	0.6844831109046936	0.6083853840827942	0.6586717963218689	0.6208512783050537	0.5920702219009399	0.615638017654419	0.633394181728363	0.6387137174606323	0.6287544369697571	0.5563015937805176	
Non/soleil/plomb	0.9204068779945374	0.8719300627708435	0.8851801156997681	0.8724322319030762	0.8689791560173035	1.0	0.8585060238838196	0.8739652633666992	0.6210684180259705	0.9165387749671936	0.5596413016319275	0.42627787590026855	0.6667262315750122	0.594958484172821	0.6604890823364258	0.6785657405853271	0.5999743342399597	0.7078529000282288	0.6501325964927673	0.6474499106407166	0.7569586634635925	0.7527365684509277	0.6908603310585022	0.7529961466789246	0.7778760194778442	0.6834645867347717	0.7100827097892761	0.7501010298728943	0.6721227169036865	0.7555594444274902	0.6855123043060303	0.6316388249397278	0.7269185185432434	0.5877974033355713	0.5809356570243835	0.6612090468406677	0.6555191278457642	0.717919647693634	0.6346997022628784	0.5208582878112793	
Non/soleil/plomb	0.8874815702438354	0.8759899735450745	0.904960036277771	0.897245466709137	0.8737496137619019	0.8585060238838196	1.0	0.8576735258102417	0.6985471248626709	0.8916669487953186	0.6595183610916138	0.4976857602596283	0.7381352782249451	0.7010164856910706	0.7154005169868469	0.7343242764472961	0.6329928636550903	0.7365191578865051	0.7554019093513489	0.7164099812507629	0.8014588952064514	0.8021551370620728	0.7824313640594482	0.7791509032249451	0.8038632869720459	0.7433830499649048	0.7431058883666992	0.7781800031661987	0.7418369054794312	0.7770693302154541	0.7739960551261902	0.711036741733551	0.7409846782684326	0.6457754969596863	0.6893272399902344	0.7202332615852356	0.7280983328819275	0.7220768928527832	0.6947494745254517	0.5706259608268738	
Non/soleil/plomb	0.8239001631736755	0.8452175259590149	0.838741660118103	0.9179525971412659	0.8753001689910889	0.8739652633666992	0.8576735258102417	1.0	0.667903482913971	0.9002167582511902	0.5822363495826721	0.3607954978942871	0.6214351654052734	0.5807214379310608	0.6761911511421204	0.6778146624565125	0.5251520872116089	0.6661873459815979	0.6150625348091125	0.60671466588974	0.7596350908279419	0.7049217820167542	0.6897044777870178	0.7238975763320923	0.7514494061470032	0.6539278626441956	0.658728837966919	0.7174060344696045	0.6715376973152161	0.725415825843811	0.7231333255767822	0.5918400883674622	0.6979039311408997	0.5510620474815369	0.5545884966850281	0.6122446656227112	0.6406189203262329	0.7158666849136353	0.6082593202590942	0.5507087111473083	
Non/soleil/plomb	0.624505341053009	0.6733908653259277	0.7234064340591431	0.7028185129165649	0.7283756136894226	0.6210684180259705	0.6985471248626709	0.667903482913971	1.0	0.6893501281738281	0.6478348970413208	0.5551229119300842	0.6319806575775146	0.7551699280738831	0.6852502822875977	0.6846330761909485	0.634471595287323	0.6452073454856873	0.6815146207809448	0.684180736541748	0.7268249988555908	0.7031512260437012	0.7158570885658264	0.6835465431213379	0.6685676574707031	0.6515988111495972	0.6931231617927551	0.6851195096969604	0.698213517665863	0.7273966073989868	0.7111430764198303	0.6444586515426636	0.6509977579116821	0.7127426862716675	0.636473536491394	0.6429163813591003	0.671609103679657	0.6159761548042297	0.6517629027366638	0.7035057544708252	
Non/soleil/plomb	0.8978153467178345	0.8683567643165588	0.8874656558036804	0.8996404409408569	0.8747672438621521	0.9165387749671936	0.8916669487953186	0.9002167582511902	0.6893501281738281	1.0	0.6377526521682739	0.4628722071647644	0.6853612065315247	0.6489787697792053	0.7084625959396362	0.73511803150177	0.6085667014122009	0.7228652834892273	0.6970510482788086	0.6655551791191101	0.7835451364517212	0.7632941007614136	0.714444100856781	0.7667228579521179	0.7844645380973816	0.6949820518493652	0.7217147946357727	0.7606046795845032	0.7130497694015503	0.7690288424491882	0.7181599736213684	0.6584058403968811	0.7456853985786438	0.6214117407798767	0.6324853301048279	0.6942880153656006	0.693426251411438	0.7411254048347473	0.6807689070701599	0.5792396664619446	
