FL_MAGN_BON_CLASSE_OUTPUT.tsv		
Groupe	accuracy modèle	accuracy système baseline
1	60.0	50.0
2	65.0	90.0
3	55.0	35.0
4	100.0	40.0
5	75.0	65.0
6	5.0	15.0
7	75.0	70.0
8	95.0	60.0
9	50.0	70.0
10	55.0	65.0
11	90.0	90.0
12	95.0	75.0
13	60.0	60.0
14	85.0	55.0
15	90.0	90.0
16	80.0	65.0
17	85.0	70.0
18	85.0	35.0
19	60.0	50.0
20	75.0	30.0
total	72.0	59.0
