	Non/soleil/plomb	Non/soleil/plomb	Non/soleil/plomb	Non/soleil/plomb	Non/soleil/plomb	Non/soleil/plomb	Non/soleil/plomb	Non/soleil/plomb	Non/soleil/plomb	Non/soleil/plomb	Oui/balles/plomb	Oui/lamelles/plomb	Oui/balle/plomb	Oui/noyaux/plomb	Oui/cartouches/plomb	Oui/billes/plomb	Oui/boulet/plomb	Oui/bille/plomb	Oui/plaque/plomb	Oui/coupole/plomb	Non/silence/plomb	Non/silence/plomb	Non/silence/plomb	Non/silence/plomb	Non/silence/plomb	Non/silence/plomb	Non/silence/plomb	Non/silence/plomb	Non/silence/plomb	Non/silence/plomb	Oui/urne/plomb	Oui/tablette/plomb	Oui/tuyau/plomb	Oui/cercueil/plomb	Oui/cage/plomb	Oui/gants/plomb	Oui/masse/plomb	Oui/lingot/plomb	Oui/morceau/plomb	Oui/armatures/plomb
Oui/balles/plomb	0.23618938028812408	0.2475997507572174	0.2437640279531479	0.2671798765659332	0.17971861362457275	0.2123933732509613	0.29194945096969604	0.22161635756492615	0.13746610283851624	0.21430669724941254	1.0	0.2999812066555023	0.49100545048713684	0.44335031509399414	0.5262986421585083	0.49587851762771606	0.27767881751060486	0.1989271342754364	0.2206811159849167	0.08914365619421005	0.14133916795253754	0.17549069225788116	0.22522924840450287	0.1711290329694748	0.16956943273544312	0.2459108531475067	0.16000357270240784	0.17978611588478088	0.1025313287973404	0.15571191906929016	0.29138219356536865	0.37116721272468567	0.11669561266899109	0.24917730689048767	0.25304219126701355	0.5305149555206299	0.2690447270870209	0.4306789040565491	0.32886067032814026	0.4621102213859558	
Oui/lamelles/plomb	-0.02390795573592186	-0.012118731625378132	-0.008543956093490124	0.01960715278983116	0.006414186209440231	0.0007927040569484234	0.009707675315439701	-0.005327917169779539	0.012643004767596722	-0.0032705352641642094	0.2999812066555023	1.0	0.06405269354581833	0.41624853014945984	0.23842304944992065	0.39081162214279175	0.1226433590054512	0.17991966009140015	0.11125596612691879	0.2592613697052002	-0.01676875166594982	-0.0033741395454853773	0.039926882833242416	0.014783519320189953	-0.026349572464823723	0.02383187599480152	0.012403076514601707	-0.014957779087126255	-0.033344339579343796	-0.01145333144813776	0.09858369082212448	0.2337474822998047	0.0980389341711998	0.12015420198440552	0.15961946547031403	0.28632909059524536	0.030810294672846794	0.1464436799287796	0.16212038695812225	0.24228180944919586	
Oui/balle/plomb	0.3929165005683899	0.4197598099708557	0.43530896306037903	0.47358033061027527	0.40267467498779297	0.4013076424598694	0.4840260446071625	0.3999486565589905	0.38137567043304443	0.39255523681640625	0.49100545048713684	0.06405269354581833	1.0	0.1469835489988327	0.4117618203163147	0.27742618322372437	0.3827940821647644	0.5710167288780212	0.3793751299381256	0.3259192705154419	0.3324745297431946	0.3462792932987213	0.345262348651886	0.3664384186267853	0.357146680355072	0.29806655645370483	0.32856637239456177	0.3478853404521942	0.3445401191711426	0.34050285816192627	0.3985450267791748	0.4278155565261841	0.254014253616333	0.29099375009536743	0.34396544098854065	0.23636245727539062	0.5064248442649841	0.3356858789920807	0.4179839789867401	0.14052323997020721	
Oui/noyaux/plomb	0.058891307562589645	0.02423367090523243	0.04416812211275101	0.09947843104600906	0.018471375107765198	0.04164522886276245	0.09710001200437546	0.03365102782845497	0.028482701629400253	0.04884013161063194	0.44335031509399414	0.41624853014945984	0.1469835489988327	1.0	0.4304053485393524	0.40717464685440063	0.21316075325012207	0.22318105399608612	0.057855602353811264	0.24069488048553467	0.15283729135990143	0.13262534141540527	0.17935840785503387	0.1343080699443817	0.12431059032678604	0.17981749773025513	0.1130669116973877	0.10631373524665833	0.07307576388120651	0.13865269720554352	0.25391310453414917	0.21556487679481506	0.08558275550603867	0.1825966089963913	0.23485684394836426	0.49148157238960266	0.1980227530002594	0.2827502191066742	0.17580750584602356	0.4391486346721649	
Oui/cartouches/plomb	0.12381365895271301	0.08363761752843857	0.10254478454589844	0.14228494465351105	0.06673940271139145	0.12236300110816956	0.15834751725196838	0.10721782594919205	0.057475313544273376	0.12635739147663116	0.5262986421585083	0.23842304944992065	0.4117618203163147	0.4304053485393524	1.0	0.49652889370918274	0.24289260804653168	0.3131556212902069	0.10916800796985626	0.14794564247131348	0.16341985762119293	0.11257758736610413	0.16869144141674042	0.16339780390262604	0.16992546617984772	0.15977011620998383	0.1116209328174591	0.11431637406349182	0.11327360570430756	0.13414673507213593	0.27143627405166626	0.27457356452941895	0.15738274157047272	0.20176729559898376	0.23334859311580658	0.4155590832233429	0.10740784555673599	0.2494927942752838	0.21872512996196747	0.2998720407485962	
Oui/billes/plomb	0.07177727669477463	0.06070294231176376	0.04359962046146393	0.07512547075748444	0.03679342567920685	0.113465815782547	0.09812519699335098	0.10456227511167526	0.07667197287082672	0.1277061253786087	0.49587851762771606	0.39081162214279175	0.27742618322372437	0.40717464685440063	0.49652889370918274	1.0	0.1802200973033905	0.4562508165836334	0.1711246520280838	0.1963711678981781	0.12902548909187317	0.06746846437454224	0.1586262285709381	0.1019376814365387	0.09181752055883408	0.11342951655387878	0.08686593174934387	0.07071561366319656	0.036461103707551956	0.07543064653873444	0.24434830248355865	0.2689546048641205	0.1502772569656372	0.17487123608589172	0.1568387746810913	0.4565618932247162	0.1329672485589981	0.3269745707511902	0.2818377614021301	0.3060811161994934	
Oui/boulet/plomb	0.46743881702423096	0.419357568025589	0.5004228353500366	0.3916487693786621	0.40989574790000916	0.39379993081092834	0.3698285222053528	0.29955804347991943	0.36197221279144287	0.41044938564300537	0.27767881751060486	0.1226433590054512	0.3827940821647644	0.21316075325012207	0.24289260804653168	0.1802200973033905	1.0	0.36889809370040894	0.30329975485801697	0.1826740801334381	0.4607580006122589	0.4691416621208191	0.3872614800930023	0.507870614528656	0.4777602553367615	0.37278124690055847	0.46298322081565857	0.463285893201828	0.4833665192127228	0.4735940992832184	0.2570706009864807	0.39311540126800537	0.3685322105884552	0.5145007371902466	0.49054428935050964	0.2248210608959198	0.20725367963314056	0.3283129632472992	0.3553989827632904	0.12517231702804565	
Oui/bille/plomb	0.2538430392742157	0.23107494413852692	0.28132370114326477	0.2651486098766327	0.2465265393257141	0.29488444328308105	0.27502942085266113	0.22082871198654175	0.2764309048652649	0.29906561970710754	0.1989271342754364	0.17991966009140015	0.5710167288780212	0.22318105399608612	0.3131556212902069	0.4562508165836334	0.36889809370040894	1.0	0.3393459916114807	0.5014010071754456	0.3048708438873291	0.2542446255683899	0.276563435792923	0.29019272327423096	0.2990822494029999	0.18361499905586243	0.27860552072525024	0.23282894492149353	0.28994402289390564	0.2857450246810913	0.40431398153305054	0.5401768088340759	0.3121660351753235	0.2997525930404663	0.45331114530563354	0.16887566447257996	0.42725586891174316	0.2484544813632965	0.39567407965660095	0.03235344588756561	
Oui/plaque/plomb	0.3121783137321472	0.36617976427078247	0.3512423634529114	0.3425161838531494	0.32456061244010925	0.27453136444091797	0.3920372426509857	0.3438156545162201	0.35671648383140564	0.3311654329299927	0.2206811159849167	0.11125596612691879	0.3793751299381256	0.057855602353811264	0.10916800796985626	0.1711246520280838	0.30329975485801697	0.3393459916114807	1.0	0.20628972351551056	0.25742214918136597	0.24732621014118195	0.26485899090766907	0.28575095534324646	0.2278483510017395	0.2518342137336731	0.2454719841480255	0.2755564749240875	0.26409879326820374	0.2431003898382187	0.3123686909675598	0.4876553416252136	0.3677513003349304	0.3435327112674713	0.43583229184150696	0.1892486810684204	0.4080701470375061	0.30664148926734924	0.47031399607658386	0.16111023724079132	
Oui/coupole/plomb	0.15995891392230988	0.11692342907190323	0.18486452102661133	0.162316232919693	0.17808623611927032	0.20136995613574982	0.17554925382137299	0.11890998482704163	0.155050128698349	0.1457643359899521	0.08914365619421005	0.2592613697052002	0.3259192705154419	0.24069488048553467	0.14794564247131348	0.1963711678981781	0.1826740801334381	0.5014010071754456	0.20628972351551056	1.0	0.1489245444536209	0.13184376060962677	0.158323273062706	0.1498054563999176	0.13216546177864075	0.11132926493883133	0.1583094298839569	0.10391472280025482	0.10864228010177612	0.14445152878761292	0.34822696447372437	0.32134121656417847	0.1105300635099411	0.1815885305404663	0.30875682830810547	0.08109971135854721	0.21499136090278625	0.04935794696211815	0.12451983243227005	0.0659918412566185	
